Chemical;CASRN;KE;mean;sd;hdi_3%;hdi_97%;mcse_mean;mcse_sd;ess_mean;ess_sd;ess_bulk;ess_tail;r_hat;True_value
Haloperidol;52-86-8;lp_bdnf;0.435;0.337;-0.221;1.044;0.007;0.005;2532.0;2530.0;2544.0;2591.0;1.0;0
Heptachlor epoxide;1024-57-3;lp_bdnf;0.831;0.188;0.484;1.197;0.006;0.004;1111.0;1108.0;1121.0;1928.0;1.0;
Hexachlorophene;70-30-4;lp_bdnf;1.245;0.362;0.584;1.909;0.009;0.006;1719.0;1582.0;1809.0;2036.0;1.0;
Hydroxyurea;127-07-1;lp_bdnf;0.549;0.159;0.237;0.824;0.004;0.003;1592.0;1490.0;1652.0;1953.0;1.0;
Maneb;12427-38-2;lp_bdnf;0.586;0.153;0.301;0.871;0.004;0.003;1386.0;1322.0;1434.0;1802.0;1.0;1
Methotrexate;59-05-2;lp_bdnf;-0.13;0.066;-0.258;-0.014;0.001;0.001;3121.0;2510.0;3259.0;2991.0;1.0;0
Ketamine hydrochloride;33795-24-3;lp_bdnf;0.733;0.168;0.412;1.047;0.005;0.004;1101.0;1095.0;1115.0;1801.0;1.0;0
Permethrin;52645-53-1;lp_bdnf;0.793;0.225;0.359;1.218;0.006;0.004;1308.0;1305.0;1319.0;1998.0;1.0;1
Sodium Fluoride;7681-49-4;lp_bdnf;0.495;0.386;-0.207;1.219;0.007;0.005;3082.0;2517.0;3177.0;3190.0;1.0;
Tebuconazole;107534-96-3;lp_bdnf;0.37;0.339;-0.265;1.006;0.007;0.005;2504.0;2504.0;2513.0;2575.0;1.0;
Thalidomide;50-35-1;lp_bdnf;0.581;0.152;0.293;0.861;0.004;0.003;1380.0;1319.0;1425.0;1871.0;1.0;
Triethyltin bromide;2767-54-6;lp_bdnf;1.114;0.438;0.347;1.919;0.012;0.008;1412.0;1403.0;1454.0;2133.0;1.0;
Bis(tri-n-butylin) oxide;56-35-9;lp_bdnf;1.483;0.472;0.584;2.336;0.011;0.008;1942.0;1755.0;2051.0;2357.0;1.0;
Cytosine Arabinoside;147-94-4;lp_bdnf;0.511;0.182;0.176;0.848;0.004;0.003;1976.0;1755.0;2062.0;2390.0;1.0;
DEHP;117-81-7;lp_bdnf;0.948;0.232;0.519;1.402;0.007;0.005;1236.0;1234.0;1251.0;1982.0;1.0;1
Cadmium chloride hydrate;7790-78-5;lp_bdnf;0.823;0.358;0.245;1.563;0.009;0.006;1628.0;1628.0;1653.0;2941.0;1.0;1
Chlordiazepoxide hydrochloride;438-41-5;lp_bdnf;0.772;0.252;0.315;1.289;0.006;0.004;1926.0;1852.0;1956.0;2669.0;1.0;
Lead acetate trihydrate;6080-56-4 ;lp_bdnf;0.619;0.405;-0.051;1.46;0.008;0.006;2726.0;2332.0;2859.0;2553.0;1.0;1
Nicotine base;54-11-5;lp_bdnf;0.684;0.154;0.408;0.985;0.005;0.003;1104.0;1089.0;1128.0;1699.0;1.0;1
PBDE-47;5436-43-1;lp_bdnf;1.131;0.299;0.556;1.676;0.008;0.006;1506.0;1436.0;1556.0;1994.0;1.0;1
Phenobarbital sodium salt;57-30-7;lp_bdnf;0.886;0.439;0.132;1.732;0.011;0.008;1698.0;1652.0;1764.0;2228.0;1.0;
Sodium Arsenite;7784-46-5;lp_bdnf;0.454;0.227;0.039;0.891;0.005;0.004;2465.0;2048.0;2568.0;2509.0;1.0;1
trans-Retinoic acid;302-79-4;lp_bdnf;0.885;0.21;0.497;1.294;0.006;0.004;1173.0;1173.0;1182.0;1991.0;1.0;
Trimethyltin hydroxide;56-24-6;lp_bdnf;0.626;0.15;0.349;0.913;0.004;0.003;1220.0;1187.0;1255.0;1797.0;1.0;1
Valproic acid sodium salt;1069-66-5 ;lp_bdnf;0.543;0.175;0.218;0.862;0.004;0.003;1782.0;1620.0;1861.0;2222.0;1.0;1
Cocaine base;50-36-2 ;lp_bdnf;0.63;0.158;0.334;0.925;0.004;0.003;1234.0;1206.0;1263.0;1758.0;1.0;
Cyclophosphamide monohydrate;6055-19-2;lp_bdnf;0.618;0.151;0.333;0.902;0.004;0.003;1237.0;1203.0;1269.0;1692.0;1.0;0
Acetaminophen;103-90-2;lp_bdnf;0.636;0.152;0.356;0.926;0.004;0.003;1192.0;1165.0;1220.0;1669.0;1.0;1
Amoxicillin;26787-78-0;lp_bdnf;-0.136;0.07;-0.267;-0.012;0.001;0.001;3121.0;2558.0;3235.0;2916.0;1.0;
Captopril;62571-86-2;lp_bdnf;0.6;0.151;0.313;0.881;0.004;0.003;1297.0;1253.0;1334.0;1679.0;1.0;
Chloramben;133-90-4;lp_bdnf;-0.034;0.039;-0.11;0.036;0.001;0.001;2768.0;1867.0;2916.0;2353.0;1.0;
Cotinine;486-56-6;lp_bdnf;0.65;0.151;0.373;0.941;0.004;0.003;1158.0;1135.0;1187.0;1661.0;1.0;
Diethylene glycol;111-46-6;lp_bdnf;0.551;0.159;0.242;0.83;0.004;0.003;1592.0;1489.0;1653.0;1895.0;1.0;
D-Sorbitol;50-70-4;lp_bdnf;-0.247;0.164;-0.552;0.066;0.003;0.002;2999.0;2665.0;3043.0;3169.0;1.0;
Fluconazole;86386-73-4;lp_bdnf;0.603;0.151;0.313;0.882;0.004;0.003;1284.0;1242.0;1321.0;1716.0;1.0;
Glyphosate;1071-83-6;lp_bdnf;-0.163;0.095;-0.341;0.016;0.002;0.001;3039.0;2635.0;3115.0;2808.0;1.0;
Isoniazid;54-85-3;lp_bdnf;-0.139;0.074;-0.278;-0.007;0.001;0.001;3110.0;2634.0;3162.0;2787.0;1.0;
Phenol;108-95-2;lp_bdnf;0.675;0.152;0.394;0.964;0.005;0.003;1121.0;1101.0;1150.0;1642.0;1.0;
Saccharin sodium salt hydrate;82385-42-0;lp_bdnf;0.496;0.188;0.164;0.857;0.004;0.003;2083.0;1831.0;2175.0;2412.0;1.0;
Sodium benzoate;532-32-1;lp_bdnf;0.541;0.196;0.187;0.915;0.004;0.003;1952.0;1722.0;2048.0;2192.0;1.0;
d-Amphetamine sulfate;51-63-8;lp_bdnf;0.675;0.16;0.371;0.974;0.005;0.003;1148.0;1133.0;1168.0;1812.0;1.0;0
Chlorpromazine hydrochloride;69-09-0;lp_bdnf;0.463;0.341;-0.196;1.085;0.007;0.005;2544.0;2511.0;2560.0;2819.0;1.0;
Fluoxetine hydrochloride;56296-78-7;lp_bdnf;0.637;0.352;-0.043;1.28;0.007;0.005;2717.0;2531.0;2756.0;3089.0;1.0;0
Heptachlor;76-44-8;lp_bdnf;1.151;0.324;0.573;1.763;0.008;0.006;1631.0;1508.0;1720.0;1955.0;1.0;
Manganese chloride;#7773-01-5;lp_bdnf;0.357;0.44;-0.459;1.219;0.008;0.006;2984.0;2327.0;3080.0;2894.0;1.0;
Methylmercury chloride;115-09-3;lp_bdnf;0.721;0.244;0.281;1.18;0.006;0.004;1648.0;1558.0;1759.0;2147.0;1.0;
Naloxone hydrochloride dihydrate;51481-60-8;lp_bdnf;0.588;0.152;0.303;0.87;0.004;0.003;1359.0;1301.0;1405.0;1892.0;1.0;
Paraquat dichloride hydrate;1910-42-5;lp_bdnf;0.546;0.313;-0.019;1.147;0.006;0.005;2464.0;2082.0;2680.0;2667.0;1.0;1
Propylthiouracil;51-52-5;lp_bdnf;0.637;0.152;0.355;0.925;0.004;0.003;1189.0;1163.0;1218.0;1668.0;1.0;1
Terbutaline hemisulfate;23031-32-5;lp_bdnf;0.673;0.159;0.39;0.988;0.005;0.003;1146.0;1130.0;1167.0;1777.0;1.0;
Loperamide hydrochloride;34552-83-5 ;lp_bdnf;-0.026;0.411;-0.758;0.782;0.008;0.006;2352.0;2291.0;2374.0;2689.0;1.0;
Loperamide;53179-11-6;lp_bdnf;-0.039;0.409;-0.845;0.696;0.008;0.006;2339.0;2302.0;2360.0;2631.0;1.0;
Mevastatin;73573-88-3;lp_bdnf;0.709;0.341;0.143;1.431;0.007;0.005;2303.0;1955.0;2379.0;2583.0;1.0;
Bis1;133052-90-1;lp_bdnf;0.738;0.326;0.081;1.328;0.007;0.005;2285.0;2134.0;2333.0;2908.0;1.0;
Sodium Orthovanadate;13721-39-6;lp_bdnf;0.651;0.342;0.052;1.342;0.007;0.005;2716.0;2168.0;2814.0;2786.0;1.0;
Domoic Acid;14277-97-5;lp_bdnf;-0.052;0.292;-0.623;0.524;0.005;0.004;3332.0;2643.0;3413.0;2924.0;1.0;
Acetamiprid;135410-20-7;lp_bdnf;0.643;0.327;0.073;1.333;0.007;0.005;2478.0;2118.0;2557.0;2588.0;1.0;
Amphetamine;300-62-9;lp_bdnf;0.617;0.354;-0.01;1.357;0.007;0.005;2823.0;2442.0;2848.0;2770.0;1.0;0
Carbaryl;63-25-2;lp_bdnf;0.689;0.322;0.093;1.318;0.007;0.005;2369.0;2053.0;2402.0;2518.0;1.0;
Chlorpromazine;50-53-3;lp_bdnf;0.765;0.345;0.117;1.432;0.006;0.005;2843.0;2644.0;2790.0;2919.0;1.0;
Cypermethrin;52315-07-8;lp_bdnf;0.706;0.343;0.109;1.41;0.007;0.005;2735.0;2292.0;2807.0;2342.0;1.0;0
Emamectin benzoate;155569-91-8;lp_bdnf;0.725;0.423;-0.019;1.538;0.007;0.006;3307.0;2823.0;3427.0;2669.0;1.0;
Fluoxetine;54910-89-3;lp_bdnf;0.884;0.348;0.303;1.621;0.007;0.005;2495.0;2195.0;2475.0;2442.0;1.0;0
Imidacloprid;138261-41-3;lp_bdnf;-0.096;0.287;-0.664;0.465;0.004;0.004;4192.0;2158.0;4053.0;3063.0;1.0;0
Lindane;58-89-9;lp_bdnf;1.006;0.404;0.297;1.824;0.008;0.006;2605.0;2199.0;2687.0;2511.0;1.0;0
Manganese;7439-96-5;lp_bdnf;0.557;0.42;-0.159;1.427;0.007;0.006;3292.0;2821.0;3363.0;2837.0;1.0;
Methylmercury;22967-92-6;lp_bdnf;0.684;0.357;-0.012;1.351;0.007;0.005;2747.0;2528.0;2813.0;3007.0;1.0;
Naloxone;465-65-6;lp_bdnf;0.632;0.315;0.054;1.248;0.006;0.005;2533.0;2262.0;2713.0;2473.0;1.0;
Paraquat;4685-14-7;lp_bdnf;0.732;0.361;0.081;1.444;0.006;0.005;3090.0;2853.0;3130.0;3077.0;1.0;1
Terbutaline;23031-25-6;lp_bdnf;-0.027;0.284;-0.584;0.512;0.005;0.004;3570.0;2208.0;3567.0;2928.0;1.0;
Thiouracil;141-90-2;lp_bdnf;0.595;0.315;0.012;1.194;0.006;0.005;2791.0;2411.0;2816.0;3015.0;1.0;
TPHP;115-86-6;lp_bdnf;0.891;0.349;0.274;1.579;0.007;0.005;2315.0;2114.0;2336.0;2537.0;1.0;
Fipronil;120068-37-3;lp_bdnf;0.61;0.334;-0.065;1.205;0.007;0.005;2611.0;2528.0;2565.0;2809.0;1.0;
Flusilazole;85509-19-9;lp_bdnf;0.623;0.316;0.018;1.246;0.006;0.005;2565.0;2176.0;2572.0;2602.0;1.0;
Lactofen;77501-63-4;lp_bdnf;0.47;0.385;-0.254;1.213;0.006;0.005;3579.0;3297.0;3518.0;3382.0;1.0;
Methylchloroisothiazolinone;26172-55-4;lp_bdnf;0.531;0.314;-0.097;1.108;0.006;0.004;3030.0;2554.0;3111.0;2886.0;1.0;
Spiroxamine;118134-30-8;lp_bdnf;0.638;0.326;0.017;1.268;0.006;0.005;2628.0;2292.0;2688.0;2894.0;1.0;
1-2-Propyleneglycol;57-55-6;lp_bdnf;0.421;0.341;-0.256;1.058;0.007;0.005;2694.0;2146.0;2614.0;2788.0;1.0;
TCEP;115-96-8;lp_bdnf;0.578;0.313;-0.052;1.155;0.006;0.004;2769.0;2675.0;2795.0;2880.0;1.0;
TDCIPP;13674-87-8;lp_bdnf;0.619;0.333;0.021;1.302;0.006;0.005;2885.0;2594.0;2852.0;2822.0;1.0;
TBBPA;79-94-7;lp_bdnf;0.874;0.465;0.032;1.811;0.008;0.006;3393.0;2829.0;3439.0;2708.0;1.0;1
5-Fluorouracil;51-21-8;lp_syn;4.17;1.604;1.205;6.994;0.048;0.034;1094.0;1094.0;1104.0;2032.0;1.0;1
Acrylamide;79-06-1;lp_syn;-0.023;0.124;-0.26;0.205;0.002;0.002;2882.0;2882.0;2896.0;3295.0;1.0;0
Aldicarb;116-06-3;lp_syn;0.041;0.122;-0.204;0.257;0.002;0.002;3086.0;3086.0;3112.0;3192.0;1.0;0
Aminonicotinamide;329-89-5;lp_syn;0.632;0.166;0.333;0.95;0.005;0.003;1348.0;1278.0;1400.0;1779.0;1.0;1
Bisphenol A;80-05-7;lp_syn;6.164;1.8;2.896;9.426;0.058;0.041;963.0;963.0;974.0;1683.0;1.0;1
Caffeine;58-08-2;lp_syn;-0.046;0.131;-0.298;0.195;0.002;0.002;2830.0;2825.0;2839.0;3258.0;1.0;0
Carbamazepine;298-46-4;lp_syn;0.107;0.145;-0.174;0.363;0.003;0.002;3144.0;3144.0;3171.0;3252.0;1.0;0
Chlorpyrifos;2921-88-2;lp_syn;1.685;0.48;0.797;2.562;0.012;0.009;1496.0;1494.0;1528.0;2168.0;1.0;1
Chlorpyrifos oxon;5598-15-2;lp_syn;3.062;0.808;1.591;4.59;0.024;0.017;1168.0;1165.0;1186.0;1621.0;1.0;1
Colchicine;64-86-8;lp_syn;0.46;0.378;-0.195;1.181;0.007;0.005;2567.0;2443.0;2649.0;3023.0;1.0;1
Deltamethrin;52918-63-5;lp_syn;1.655;0.462;0.779;2.505;0.015;0.01;988.0;988.0;997.0;1749.0;1.0;1
Dexamethasone;50-02-2;lp_syn;0.036;0.131;-0.208;0.281;0.002;0.002;3004.0;3004.0;3046.0;2976.0;1.0;0
Diazepam;439-14-5;lp_syn;1.859;0.691;0.633;3.165;0.019;0.014;1310.0;1252.0;1357.0;1948.0;1.0;1
Dieldrin;60-57-1;lp_syn;1.502;0.37;0.853;2.228;0.012;0.009;925.0;925.0;933.0;1427.0;1.0;1
Diethylstilbestrol;56-53-1;lp_syn;1.399;0.617;0.337;2.59;0.013;0.01;2116.0;1775.0;2290.0;2197.0;1.0;1
Diphenylhydantoin;57-41-0;lp_syn;0.061;0.122;-0.18;0.281;0.002;0.002;3236.0;3236.0;3261.0;3162.0;1.0;0
Haloperidol;52-86-8;lp_syn;1.251;0.407;0.538;2.023;0.009;0.007;1887.0;1810.0;1955.0;2432.0;1.0;1
Heptachlor epoxide;1024-57-3;lp_syn;0.716;0.169;0.419;1.058;0.005;0.003;1272.0;1270.0;1285.0;1882.0;1.0;1
Hexachlorophene;70-30-4;lp_syn;1.22;0.359;0.556;1.87;0.009;0.006;1769.0;1617.0;1871.0;2053.0;1.0;1
Hydroxyurea;127-07-1;lp_syn;-0.05;0.131;-0.295;0.196;0.002;0.002;2815.0;2815.0;2831.0;3370.0;1.0;0
Maneb;12427-38-2;lp_syn;-0.012;0.122;-0.226;0.234;0.002;0.002;2920.0;2913.0;2933.0;3220.0;1.0;0
Methotrexate;59-05-2;lp_syn;0.854;0.487;-0.016;1.752;0.014;0.01;1242.0;1242.0;1260.0;2174.0;1.0;1
Ketamine hydrochloride;33795-24-3;lp_syn;0.135;0.137;-0.112;0.398;0.002;0.002;3353.0;3353.0;3368.0;3222.0;1.0;0
Permethrin;52645-53-1;lp_syn;0.701;0.214;0.309;1.119;0.006;0.004;1461.0;1456.0;1468.0;2166.0;1.0;1
Sodium Fluoride;7681-49-4;lp_syn;-0.104;0.365;-0.813;0.55;0.006;0.005;4238.0;2773.0;4185.0;3387.0;1.0;0
Tebuconazole;107534-96-3;lp_syn;1.428;0.64;0.253;2.635;0.014;0.01;2042.0;1904.0;2112.0;2443.0;1.0;1
Thalidomide;50-35-1;lp_syn;-0.017;0.123;-0.243;0.22;0.002;0.002;2882.0;2882.0;2893.0;3145.0;1.0;0
Triethyltin bromide;2767-54-6;lp_syn;0.546;0.383;-0.129;1.267;0.008;0.006;2421.0;2310.0;2503.0;2961.0;1.0;1
Bis(tri-n-butylin) oxide;56-35-9;lp_syn;0.886;0.441;0.093;1.727;0.007;0.006;3462.0;2673.0;3583.0;2743.0;1.0;1
Cytosine Arabinoside;147-94-4;lp_syn;0.782;0.242;0.341;1.235;0.006;0.005;1473.0;1352.0;1550.0;1725.0;1.0;1
DEHP;117-81-7;lp_syn;0.805;0.211;0.408;1.206;0.005;0.004;1489.0;1469.0;1509.0;2102.0;1.0;1
Cadmium chloride hydrate;7790-78-5;lp_syn;0.315;0.327;-0.259;0.969;0.006;0.004;2872.0;2736.0;3007.0;3134.0;1.0;1
Chlordiazepoxide hydrochloride;438-41-5;lp_syn;1.261;0.349;0.643;1.975;0.01;0.007;1257.0;1245.0;1272.0;2043.0;1.0;1
Lead acetate trihydrate;6080-56-4 ;lp_syn;0.021;0.374;-0.659;0.735;0.006;0.005;4441.0;2503.0;4476.0;3311.0;1.0;0
Nicotine base;54-11-5;lp_syn;0.609;0.199;0.262;1.002;0.005;0.004;1371.0;1334.0;1408.0;2467.0;1.0;1
PBDE-47;5436-43-1;lp_syn;1.065;0.29;0.509;1.595;0.007;0.005;1633.0;1537.0;1695.0;2248.0;1.0;1
Phenobarbital sodium salt;57-30-7;lp_syn;0.288;0.383;-0.389;1.031;0.007;0.005;2901.0;2712.0;2971.0;2822.0;1.0;0
Sodium Arsenite;7784-46-5;lp_syn;0.085;0.197;-0.293;0.45;0.003;0.003;3601.0;2976.0;3591.0;3415.0;1.0;1
trans-Retinoic acid;302-79-4;lp_syn;0.287;0.18;-0.053;0.618;0.003;0.002;3573.0;3417.0;3584.0;3412.0;1.0;0
Trimethyltin hydroxide;56-24-6;lp_syn;0.149;0.103;-0.043;0.344;0.002;0.001;4111.0;3796.0;4098.0;3778.0;1.0;1
Valproic acid sodium salt;1069-66-5 ;lp_syn;-0.055;0.146;-0.331;0.214;0.003;0.002;2817.0;2817.0;2823.0;2958.0;1.0;0
Cocaine base;50-36-2 ;lp_syn;0.031;0.132;-0.215;0.278;0.002;0.002;2971.0;2971.0;3017.0;3022.0;1.0;0
Cyclophosphamide monohydrate;6055-19-2;lp_syn;0.02;0.122;-0.212;0.244;0.002;0.002;2985.0;2985.0;2990.0;3096.0;1.0;0
Acetaminophen;103-90-2;lp_syn;0.037;0.121;-0.204;0.254;0.002;0.002;3070.0;3070.0;3096.0;3164.0;1.0;0
Amoxicillin;26787-78-0;lp_syn;-0.734;0.193;-1.088;-0.377;0.006;0.004;951.0;951.0;964.0;1369.0;1.0;0
Captopril;62571-86-2;lp_syn;0.001;0.122;-0.231;0.226;0.002;0.002;2926.0;2926.0;2951.0;3096.0;1.0;0
Chloramben;133-90-4;lp_syn;-0.632;0.182;-0.982;-0.312;0.006;0.004;1023.0;1007.0;1050.0;1563.0;1.0;0
Cotinine;486-56-6;lp_syn;0.052;0.119;-0.177;0.276;0.002;0.001;3217.0;3217.0;3217.0;3335.0;1.0;0
Diethylene glycol;111-46-6;lp_syn;-0.048;0.131;-0.297;0.195;0.002;0.002;2823.0;2821.0;2835.0;3273.0;1.0;0
D-Sorbitol;50-70-4;lp_syn;-0.845;0.242;-1.306;-0.402;0.007;0.005;1086.0;1086.0;1097.0;1764.0;1.0;0
Fluconazole;86386-73-4;lp_syn;0.005;0.122;-0.23;0.229;0.002;0.002;2934.0;2934.0;2958.0;3081.0;1.0;0
Glyphosate;1071-83-6;lp_syn;-0.762;0.202;-1.136;-0.393;0.007;0.005;963.0;963.0;973.0;1571.0;1.0;0
Isoniazid;54-85-3;lp_syn;-0.737;0.193;-1.115;-0.401;0.006;0.004;946.0;946.0;956.0;1422.0;1.0;0
Phenol;108-95-2;lp_syn;0.077;0.116;-0.161;0.284;0.002;0.001;3465.0;3451.0;3482.0;3295.0;1.0;0
Saccharin sodium salt hydrate;82385-42-0;lp_syn;-0.103;0.163;-0.401;0.205;0.003;0.002;2745.0;2745.0;2754.0;3263.0;1.0;0
Sodium benzoate;532-32-1;lp_syn;-0.057;0.169;-0.369;0.26;0.003;0.002;2805.0;2805.0;2815.0;3238.0;1.0;0
d-Amphetamine sulfate;51-63-8;lp_syn;0.132;0.127;-0.097;0.38;0.002;0.002;3325.0;3325.0;3330.0;3290.0;1.0;1
Chlorpromazine hydrochloride;69-09-0;lp_syn;0.817;0.351;0.159;1.473;0.007;0.005;2477.0;2308.0;2539.0;2614.0;1.0;1
Fluoxetine hydrochloride;56296-78-7;lp_syn;0.493;0.35;-0.173;1.148;0.007;0.005;2765.0;2666.0;2787.0;3252.0;1.0;1
Heptachlor;76-44-8;lp_syn;1.401;0.362;0.747;2.09;0.01;0.007;1329.0;1267.0;1388.0;1568.0;1.0;1
Manganese chloride;#7773-01-5;lp_syn;3.527;1.126;1.578;5.777;0.031;0.023;1324.0;1244.0;1405.0;1616.0;1.0;1
Methylmercury chloride;115-09-3;lp_syn;0.176;0.212;-0.198;0.588;0.004;0.003;3407.0;2544.0;3726.0;2948.0;1.0;1
Naloxone hydrochloride dihydrate;51481-60-8;lp_syn;-0.01;0.122;-0.243;0.216;0.002;0.002;2915.0;2911.0;2927.0;3252.0;1.0;0
Paraquat dichloride hydrate;1910-42-5;lp_syn;0.004;0.29;-0.565;0.515;0.005;0.004;3064.0;2947.0;3067.0;3101.0;1.0;1
Propylthiouracil;51-52-5;lp_syn;0.038;0.121;-0.204;0.255;0.002;0.002;3075.0;3075.0;3100.0;3165.0;1.0;0
Terbutaline hemisulfate;23031-32-5;lp_syn;2.161;0.825;0.684;3.709;0.023;0.016;1327.0;1260.0;1377.0;1945.0;1.0;1
Loperamide hydrochloride;34552-83-5 ;lp_syn;-0.31;0.422;-1.062;0.515;0.009;0.006;2427.0;2281.0;2454.0;2880.0;1.0;1
Loperamide;53179-11-6;lp_syn;-0.493;0.73;-1.818;0.866;0.01;0.01;4986.0;2947.0;5205.0;3110.0;1.0;0
Mevastatin;73573-88-3;lp_syn;0.709;0.754;-0.631;2.221;0.009;0.01;6317.0;3049.0;6672.0;2911.0;1.0;0
Bis1;133052-90-1;lp_syn;0.713;0.749;-0.579;2.219;0.009;0.009;6578.0;3121.0;7021.0;2892.0;1.0;0
Sodium Orthovanadate;13721-39-6;lp_syn;0.667;0.755;-0.64;2.155;0.01;0.01;6101.0;2875.0;6334.0;3120.0;1.0;0
Domoic Acid;14277-97-5;lp_syn;0.409;0.716;-0.887;1.737;0.01;0.01;5631.0;2789.0;5842.0;3230.0;1.0;0
Acetamiprid;135410-20-7;lp_syn;0.195;0.683;-1.013;1.545;0.009;0.01;6448.0;2273.0;6495.0;2948.0;1.0;0
Amphetamine;300-62-9;lp_syn;0.17;0.681;-1.089;1.456;0.008;0.01;7146.0;2399.0;7118.0;3515.0;1.0;0
Carbaryl;63-25-2;lp_syn;0.699;0.742;-0.559;2.173;0.01;0.01;5934.0;2730.0;6587.0;2814.0;1.0;0
Chlorpromazine;50-53-3;lp_syn;0.707;0.752;-0.665;2.168;0.01;0.01;5565.0;2714.0;5792.0;3159.0;1.0;0
Cypermethrin;52315-07-8;lp_syn;0.687;0.741;-0.564;2.218;0.01;0.01;6047.0;3019.0;6289.0;3022.0;1.0;0
Emamectin benzoate;155569-91-8;lp_syn;0.716;0.749;-0.651;2.165;0.01;0.01;5725.0;3054.0;6031.0;2813.0;1.0;0
Fluoxetine;54910-89-3;lp_syn;0.782;0.768;-0.616;2.257;0.01;0.009;6399.0;3506.0;6554.0;3355.0;1.0;0
Imidacloprid;138261-41-3;lp_syn;0.324;0.692;-0.88;1.737;0.01;0.01;5016.0;2399.0;5071.0;2706.0;1.0;0
Lindane;58-89-9;lp_syn;0.835;0.773;-0.64;2.237;0.01;0.009;6249.0;3604.0;6352.0;3145.0;1.0;0
Manganese;7439-96-5;lp_syn;0.158;0.701;-1.063;1.587;0.008;0.01;7169.0;2498.0;7183.0;3413.0;1.0;0
Methylmercury;22967-92-6;lp_syn;0.7;0.753;-0.669;2.137;0.01;0.009;5775.0;3284.0;6010.0;3401.0;1.0;0
Naloxone;465-65-6;lp_syn;0.58;0.711;-0.724;1.93;0.009;0.008;6039.0;3581.0;6123.0;3469.0;1.0;0
Paraquat;4685-14-7;lp_syn;0.714;0.757;-0.674;2.175;0.01;0.01;6151.0;2604.0;6861.0;2932.0;1.0;0
Terbutaline;23031-25-6;lp_syn;-0.025;0.653;-1.193;1.273;0.008;0.01;7077.0;2272.0;7125.0;3304.0;1.0;0
Thiouracil;141-90-2;lp_syn;0.615;0.729;-0.811;1.955;0.009;0.01;6876.0;2589.0;7282.0;2698.0;1.0;0
TPHP;115-86-6;lp_syn;0.724;0.772;-0.696;2.201;0.01;0.01;5713.0;2972.0;6020.0;3115.0;1.0;0
Fipronil;120068-37-3;lp_syn;-0.29;0.712;-1.677;0.984;0.01;0.01;5562.0;2409.0;5629.0;3198.0;1.0;0
Flusilazole;85509-19-9;lp_syn;-0.27;0.711;-1.712;0.964;0.011;0.01;4569.0;2710.0;4603.0;3326.0;1.0;0
Lactofen;77501-63-4;lp_syn;-0.333;0.74;-1.753;1.044;0.011;0.011;4330.0;2344.0;4301.0;2893.0;1.0;0
Methylchloroisothiazolinone;26172-55-4;lp_syn;-0.32;0.732;-1.603;1.145;0.01;0.01;4865.0;2452.0;4885.0;2991.0;1.0;0
